id,sender,recipient,skillRequest,messageContent
1,12,10,10,Looking forward to our session!
2,1,15,15,I’m excited to learn from you.
3,3,20,20,What materials should I prepare?
4,3,25,25,Can we meet a bit earlier next time?
5,34,30,30,Thank you for the advice on my practice.
6,40,35,35,"I appreciate your guidance, it’s been super helpful."
7,43,40,40,Could you send me some exercises to practice?
8,46,45,45,I’m making great progress thanks to you!
9,49,50,50,Could we focus on technique next time?
10,52,55,55,Do you offer sessions on weekends?