id,user,picture,skillToLearn,skillToTeach,mode,city,country,availability,additionalInfo
1,1,https://res.cloudinary.com/digcf0lad/image/upload/v1730665703/Project%2012/users/venrick-azcueta-17qa33WJ6zI-unsplash_xz7zcj.webp,Skate,Breathing,both,Ericeira,Portugal,"Every day, after 5:00 pm","I'm a yoga instructor with 6 years of experience and am excited to learn skateboarding."
2,2,https://res.cloudinary.com/digcf0lad/image/upload/v1730665698/Project%2012/users/julian-wan-2EdIX-O2lkI-unsplash_s4qwwt.webp,Photography,Cooking/Painting,both,Lisbon,Portugal,"Weekends, 10:00 am - 4:00 pm","I love cooking and sharing recipes, and would love to learn more about photography techniques."
3,3,https://res.cloudinary.com/digcf0lad/image/upload/v1730665694/Project%2012/users/skate__xs9gkw.jpg,Guitar,English,online,Berlin,Germany,"Monday to Friday, after 6:00 pm","I'm fluent in English and interested in learning the basics of guitar."
4,4,https://res.cloudinary.com/digcf0lad/image/upload/v1730665698/Project%2012/users/2b25b991-247f-45a3-9b2f-6bbdea2be816_rzmpoq.jpg,Spanish,Mandarin,in-person,Shanghai,China,"Saturdays, 12:00 pm - 3:00 pm","I want to practice Spanish conversation and can help with Mandarin."
5,5,https://res.cloudinary.com/digcf0lad/image/upload/v1730665694/Project%2012/users/alex-suprun-1JGHAAdbL_Y-unsplash_dhsl5m.webp,Coding/Graphic Design,Photography,both,Madrid,Spain,"Fridays, 5:00 pm - 7:00 pm","I'm interested in learning coding and design principles, and I can offer beginner photography lessons."
6,6,https://res.cloudinary.com/digcf0lad/image/upload/v1730665700/Project%2012/users/STARSEEDS_sustainable_sportswear_brand_kcu4du.jpg,Public Speaking,Samba Dance/Portuguese,online,São Paulo,Brazil,"Weekends, after 2:00 pm","I want to improve my public speaking skills and can teach Samba and Portuguese."
7,7,https://res.cloudinary.com/digcf0lad/image/upload/v1730665698/Project%2012/users/The_physical_postures_or_asanas_in_yoga_are_often_designed_to_be_visually_pleasing_and_symmetrical_ot48qx.jpg,Photography,Yoga,both,Sydney,Australia,"Mondays, 9:00 am - 11:00 am","I've been doing photography for years and am interested in learning yoga."
8,8,https://res.cloudinary.com/digcf0lad/image/upload/v1730665701/Project%2012/users/austin-distel-VvAcrVa56fc-unsplash_c8vmxc.webp,Digital Marketing,Writing,both,Toronto,Canada,"Wednesday and Saturday mornings","I can help with writing and I'm looking to improve my digital marketing skills."
9,9,https://res.cloudinary.com/digcf0lad/image/upload/v1730665694/Project%2012/users/1_thunlu.webp,English,Korean,both,Seoul,South Korea,"Afternoons, any day","I'm fluent in Korean and can help others learn it while I practice English."
10,10,https://res.cloudinary.com/digcf0lad/image/upload/v1730665695/Project%2012/users/Teste_de_Personalidade_baseado_nos_trabalhos_de_Jung_e_Briggs-Myers_txiqkb.jpg,Business Management,Arabic,both,Dubai,UAE,"Sunday mornings","I want to learn more about business management and can help with Arabic language practice."
11,11,https://randomuser.me/api/portraits/men/83.jpg,Ballet,Surfing,online,Munich,Germany,"Mondays, after 5:00 pm",Exploring ballet to integrate grace and fitness.
12,12,https://randomuser.me/api/portraits/women/86.jpg,Cycling,Yoga,in-person,Hamburg,Germany,"Weekends, afternoons",Wants to combine cycling with improved mindfulness techniques.
13,13,https://randomuser.me/api/portraits/men/28.jpg,Gardening,Pilates,online,London,United Kingdom,"Thursdays, 4:00 pm - 6:00 pm",Curious about gardening tips for urban spaces.
14,14,https://randomuser.me/api/portraits/women/25.jpg,Drawing,Strength Training,online,Manchester,United Kingdom,"Sundays, 1:00 pm - 4:00 pm",Aims to refine drawing skills for self-expression.
15,15,https://randomuser.me/api/portraits/women/33.jpg,Sculpting,Tai Chi,in-person,Bristol,United Kingdom,"Monday to Friday, 8:00 am - 11:00 am",Eager to learn sculpting techniques for artistic expression.
16,16,https://randomuser.me/api/portraits/women/55.jpg,Music Theory,Jiu-Jitsu,online,Edinburgh,United Kingdom,"Tuesdays, 5:00 pm - 8:00 pm",Exploring music theory for composing unique melodies.
17,17,https://randomuser.me/api/portraits/men/13.jpg,Fencing,Public Speaking,in-person,Dublin,Ireland,"Saturdays, mornings",Aims to combine fencing with enhanced reflex training.
18,18,https://randomuser.me/api/portraits/men/57.jpg,Swimming,Creative Writing,in-person,Cork,Ireland,"Mondays, 10:00 am - 1:00 pm",Interested in learning swimming techniques for fitness and leisure.
19,19,https://randomuser.me/api/portraits/men/82.jpg,Dancing,Cooking,online,Amsterdam,Netherlands,"Wednesdays, 2:00 pm - 5:00 pm",Aspires to use dancing as a creative outlet.
20,20,https://randomuser.me/api/portraits/men/78.jpg,Chess,Chess,in-person,Rotterdam,Netherlands,"Mondays and Fridays, 6:00 pm - 9:00 pm",Seeks advanced chess strategies for competitive play.
21,21,https://randomuser.me/api/portraits/women/23.jpg,Salsa,Digital Marketing,online,Brussels,Belgium,"Weekends, 11:00 am - 3:00 pm",Exploring salsa dancing for cultural and physical enrichment.
22,22,https://randomuser.me/api/portraits/women/71.jpg,Writing,Social Media Management,in-person,Antwerp,Belgium,"Tuesdays and Thursdays, after 6:00 pm",Interested in writing techniques to create compelling narratives.
23,23,https://randomuser.me/api/portraits/men/24.jpg,Calligraphy,Woodworking,in-person,Zurich,Switzerland,"Fridays, 3:00 pm - 6:00 pm",Desires to master calligraphy for elegant personal projects.
24,24,https://randomuser.me/api/portraits/women/59.jpg,Judo,Graphic Design,online,Geneva,Switzerland,"Wednesdays, 12:00 pm - 4:00 pm",Seeks Judo techniques for improved physical agility.
25,25,https://randomuser.me/api/portraits/men/42.jpg,Baseball,Web Development,online,Vienna,Austria,"Mondays and Wednesdays, 5:00 pm - 8:00 pm",Curious about baseball skills for amateur team play.
26,26,https://randomuser.me/api/portraits/men/9.jpg,Football,Machine Learning,in-person,Salzburg,Austria,"Saturdays, 9:00 am - 12:00 pm",Looking to combine football training with teamwork building.
27,27,https://randomuser.me/api/portraits/women/5.jpg,Brazilian Jiu-Jitsu,Data Analysis,in-person,Prague,Czech Republic,"Sundays, 2:00 pm - 6:00 pm",Aiming to learn Jiu-Jitsu for enhanced self-defense techniques.
28,28,https://randomuser.me/api/portraits/men/18.jpg,Drawing,Blockchain Basics,online,Brno,Czech Republic,"Monday to Friday, afternoons",Eager to refine drawing skills for blockchain-related designs.
29,29,https://randomuser.me/api/portraits/men/18.jpg,Aikido,Singing,in-person,Warsaw,Poland,"Weekends, 10:00 am - 2:00 pm",Exploring Aikido for balance and self-defense.
30,30,https://randomuser.me/api/portraits/men/1.jpg,Tennis,Guitar,in-person,Rancagua,Chile,"Mondays, 1:00 pm - 3:00 pm",Interested in refining tennis skills for competitive matches.
31,31,https://randomuser.me/api/portraits/women/32.jpg,Painting,Piano,online,Budapest,Hungary,"Thursdays, 3:00 pm - 5:00 pm",Seeking painting guidance to create evocative artwork.
32,32,https://randomuser.me/api/portraits/men/18.jpg,Skiing,Drums,online,Belgrade,Serbia,"Tuesdays, 8:00 am - 10:00 am",Exploring skiing techniques for recreational fun.
33,33,https://randomuser.me/api/portraits/women/63.jpg,Cooking,DJing,in-person,Athens,Greece,"Mondays, 9:00 am - 11:00 am",Wants to learn diverse cooking styles for entertaining friends.
34,34,https://randomuser.me/api/portraits/men/28.jpg,Barbecue,Music Production,in-person,Thessaloniki,Greece,"Wednesdays, 6:00 pm - 8:00 pm",Curious about barbecue techniques for culinary excellence.
35,35,https://randomuser.me/api/portraits/women/76.jpg,Hiking,Videography,online,Sofia,Bulgaria,"Fridays, 2:00 pm - 4:00 pm",Desires to connect with nature through hiking exploration.
36,36,https://randomuser.me/api/portraits/women/15.jpg,Sculpting,Screenwriting,in-person,Bucharest,Romania,"Tuesdays, afternoons",Aims to refine sculpting for artistic development.
37,37,https://randomuser.me/api/portraits/men/75.jpg,Web Design,Podcasting,online,Kyiv,Ukraine,"Saturdays, after 3:00 pm",Wants to master web design for impactful projects.
38,38,https://randomuser.me/api/portraits/men/69.jpg,Knitting,Gardening,in-person,Odessa,Ukraine,"Weekends, mornings",Exploring knitting as a calming creative hobby.
39,39,https://randomuser.me/api/portraits/women/70.jpg,Spiritual Healing,Pottery,online,Minsk,Belarus,"Monday to Friday, 10:00 am - 12:00 pm",Learning spiritual healing for personal and community well-being.
40,40,https://randomuser.me/api/portraits/men/98.jpg,Herbalism,Knitting,in-person,Vilnius,Lithuania,"Mondays and Fridays, 5:00 pm - 7:00 pm",Interested in herbalism to create natural remedies.
41,41,https://randomuser.me/api/portraits/women/55.jpg,Volleyball,Sewing,online,Riga,Latvia,"Wednesdays, 7:00 pm - 9:00 pm",Seeking volleyball tips for improved team play.
42,42,https://randomuser.me/api/portraits/men/52.jpg,Graphic Design,Embroidery,in-person,Tallinn,Estonia,"Thursdays, 12:00 pm - 3:00 pm",Desires graphic design skills to enhance creative projects.
43,43,https://randomuser.me/api/portraits/men/76.jpg,Creative Writing,Calligraphy,online,Stockholm,Sweden,"Sundays, 9:00 am - 12:00 pm",Learning creative writing to bring ideas to life.
44,44,https://randomuser.me/api/portraits/men/31.jpg,Pottery,Herbalism,online,Gothenburg,Sweden,"Fridays, 11:00 am - 2:00 pm",Aiming to refine pottery techniques for unique creations.
45,45,https://randomuser.me/api/portraits/women/25.jpg,Sewing,Massage Therapy,in-person,Oslo,Norway,"Mondays, 3:00 pm - 6:00 pm",Exploring sewing for practical and creative applications.
46,46,https://randomuser.me/api/portraits/men/33.jpg,Origami,Reiki,in-person,Bergen,Norway,"Tuesdays and Thursdays, 4:00 pm - 7:00 pm",Wants to learn origami for mindfulness and creativity.
47,47,https://randomuser.me/api/portraits/men/70.jpg,Drumming,Crystal Healing,online,Helsinki,Finland,"Mondays, mornings",Curious about drumming to enhance rhythm and musicality.
48,48,https://randomuser.me/api/portraits/women/1.jpg,Running,Tarot Reading,in-person,Tampere,Finland,"Saturdays, 8:00 am - 11:00 am",Seeking running tips to build endurance and stamina.
49,49,https://randomuser.me/api/portraits/women/34.jpg,Boxing,Astrology,in-person,Copenhagen,Denmark,"Sundays, afternoons",Interested in boxing techniques for fitness and defense.
50,50,https://randomuser.me/api/portraits/women/23.jpg,Computer Science,Skateboarding,online,Aarhus,Denmark,"Mondays and Wednesdays, 10:00 am - 12:00 pm",Eager to enhance computer science skills for technical projects.
51,51,https://randomuser.me/api/portraits/men/57.jpg,Nature Photography,Cycling,in-person,Malmö,Sweden,"Thursdays, 9:00 am - 11:00 am",Aims to refine nature photography for impactful storytelling.
52,52,https://randomuser.me/api/portraits/men/49.jpg,Knitting,Running,online,Reykjavik,Iceland,"Fridays, evenings",Exploring knitting for crafting unique handmade pieces.
53,53,https://randomuser.me/api/portraits/men/69.jpg,Fashion Design,Parkour,online,Edmonton,Canada,"Weekends, all day",Wants to combine fashion design with sustainable practices.
54,54,https://randomuser.me/api/portraits/men/29.jpg,Surf Culture,Rock Climbing,in-person,Toronto,Canada,"Monday to Friday, 7:00 am - 9:00 am",Curious about surf culture for building community connections.
55,55,https://randomuser.me/api/portraits/women/52.jpg,Tai Chi,Snowboarding,in-person,Vancouver,Canada,"Sundays, 3:00 pm - 6:00 pm",Desires Tai Chi techniques to improve relaxation and balance.
56,56,https://randomuser.me/api/portraits/men/7.jpg,Self-Defense,Skiing,online,Montreal,Canada,"Tuesdays, 6:00 pm - 8:00 pm",Aiming to enhance self-defense skills for confidence.
57,57,https://randomuser.me/api/portraits/men/0.jpg,Archery,Kayaking,online,Ottawa,Canada,"Mondays and Thursdays, 1:00 pm - 4:00 pm",Interested in archery to improve focus and precision.
58,58,https://randomuser.me/api/portraits/men/71.jpg,Crossfit,Scuba Diving,in-person,New York,United States,"Wednesdays, 8:00 am - 10:00 am",Wants to combine CrossFit with scuba diving for fitness.
59,59,https://randomuser.me/api/portraits/men/58.jpg,Spiritual Guidance,Sailing,in-person,Los Angeles,United States,"Fridays, 10:00 am - 12:00 pm",Exploring spiritual guidance for personal enlightenment.
60,60,https://randomuser.me/api/portraits/men/46.jpg,Bird Watching,Horseback Riding,online,San Francisco,United States,"Saturdays, 1:00 pm - 3:00 pm",Curious about bird watching to deepen nature appreciation.
61,61,https://randomuser.me/api/portraits/men/35.jpg,Surf Culture,Dog Training,online,Austin,United States,"Mondays and Fridays, after 7:00 pm",Learning surf culture for community and environmental engagement.
62,62,https://randomuser.me/api/portraits/men/86.jpg,Piano Playing,Fishing,in-person,Seattle,United States,"Wednesdays, 4:00 pm - 6:00 pm",Eager to master piano playing for personal enrichment.
63,63,https://randomuser.me/api/portraits/men/3.jpg,Bodybuilding,Survival Skills,in-person,Denver,United States,"Tuesdays, 9:00 am - 11:00 am",Desires bodybuilding tips for enhanced strength training.
64,64,https://randomuser.me/api/portraits/men/70.jpg,Skate Culture,Sign Language,online,Boston,United States,"Weekends, 12:00 pm - 4:00 pm",Exploring skate culture for deeper community connections.
65,65,https://randomuser.me/api/portraits/men/1.jpg,Feng Shui,Spanish,online,Miami,United States,"Mondays, 7:00 pm - 9:00 pm",Wants to incorporate Feng Shui principles into daily life.
66,66,https://randomuser.me/api/portraits/women/37.jpg,Tattoo Art,French,in-person,Chicago,United States,"Thursdays, 11:00 am - 2",Learning tattoo art to enhance artistic skills.
67,67,https://randomuser.me/api/portraits/women/35.jpg,Lacrosse,Italian,in-person,Dallas,United States,"Wednesdays, 7:00 pm - 9:00 pm",Interested in lacrosse techniques for recreational play.
68,68,https://randomuser.me/api/portraits/men/80.jpg,Public Speaking,German,online,Atlanta,United States,"Thursdays, 12:00 pm - 3:00 pm",Aiming to improve public speaking for professional growth.
69,69,https://randomuser.me/api/portraits/men/31.jpg,Mindfulness,Japanese,in-person,Phoenix,United States,"Sundays, 9:00 am - 12:00 pm",Seeking mindfulness guidance to achieve inner peace.
70,70,https://randomuser.me/api/portraits/women/32.jpg,Street Art,Chinese,in-person,San Diego,United States,"Fridays, 11:00 am - 2:00 pm",Desires street art techniques for urban creativity.
71,71,https://randomuser.me/api/portraits/men/26.jpg,Camping,Arabic,online,Las Vegas,United States,"Mondays, 3:00 pm - 6:00 pm",Exploring camping skills for adventurous getaways.
72,72,https://randomuser.me/api/portraits/men/90.jpg,Canoeing,Russian,in-person,Houston,United States,"Tuesdays and Thursdays, 4:00 pm - 7:00 pm",Curious about canoeing for recreational enjoyment.
73,73,https://randomuser.me/api/portraits/women/67.jpg,Snowboarding,Portuguese,in-person,Orlando,United States,"Mondays, mornings",Learning snowboarding for winter sports proficiency.
74,74,https://randomuser.me/api/portraits/men/92.jpg,Woodworking,Hiking,online,Honolulu,United States,"Saturdays, 8:00 am - 11:00 am",Wants woodworking techniques for creative personal projects.
75,75,https://randomuser.me/api/portraits/women/81.jpg,Photography,Birdwatching,online,Mexico City,Mexico,"Sundays, afternoons",Interested in photography to capture unique moments.
76,76,https://randomuser.me/api/portraits/women/94.jpg,Rock Climbing,Foraging,in-person,Santa Teresa,Costa Rica,"Mondays and Wednesdays, 10:00 am - 12:00 pm",Exploring rock climbing for physical and mental challenges.
77,77,https://randomuser.me/api/portraits/women/12.jpg,Parkour,Camping,in-person,Guadalajara,Mexico,"Thursdays, 9:00 am - 11:00 am",Aims to master parkour for movement efficiency.
78,78,https://randomuser.me/api/portraits/women/36.jpg,Horseback Riding,Astrophotography,online,Monterrey,Mexico,"Fridays, evenings",Eager to learn horseback riding for outdoor exploration.
79,79,https://randomuser.me/api/portraits/women/3.jpg,Golf,3D Modeling,in-person,Medellin,Colombia,"Weekends, all day",Desires golf tips to improve technique and precision.
80,80,https://randomuser.me/api/portraits/men/57.jpg,Photography,Animation,online,Bogotá,Colombia,"Monday to Friday, 7:00 am - 9:00 am",Seeking photography expertise to expand creative vision.
81,81,https://randomuser.me/api/portraits/women/71.jpg,French Cooking,Acting,online,Quito,Ecuador,"Sundays, 3:00 pm - 6:00 pm",Curious about French cooking for culinary mastery.
82,82,https://randomuser.me/api/portraits/men/95.jpg,Candle Making,Directing,in-person,Lima,Peru,"Tuesdays, 6:00 pm - 8:00 pm",Aiming to explore candle making as a creative hobby.
83,83,https://randomuser.me/api/portraits/men/39.jpg,Yoga Nidra,Script Analysis,online,Santiago,Chile,"Mondays and Thursdays, 1:00 pm - 4:00 pm",Interested in yoga nidra for deep relaxation.
84,84,https://randomuser.me/api/portraits/men/2.jpg,Baking,Entrepreneurship,in-person,Buenos Aires,Argentina,"Wednesdays, 8:00 am - 10:00 am",Exploring baking techniques for professional culinary skills.
85,85,https://randomuser.me/api/portraits/women/57.jpg,Personal Branding,Finance Basics,online,São Paulo,Brazil,"Fridays, 10:00 am - 12:00 pm",Eager to master personal branding for career success.
86,86,https://randomuser.me/api/portraits/women/67.jpg,Cycling,Investing,online,Rio de Janeiro,Brazil,"Saturdays, 1:00 pm - 3:00 pm",Wants to combine cycling with investing techniques.
87,87,https://randomuser.me/api/portraits/men/71.jpg,Scrapbooking,Real Estate,in-person,Brasilia,Brazil,"Mondays and Fridays, after 7:00 pm",Learning scrapbooking for creative personal projects.
88,88,https://randomuser.me/api/portraits/women/23.jpg,Astronomy,Project Management,online,Cape Town,South Africa,"Wednesdays, 7:00 pm - 9:00 pm",Aiming to deepen astronomy knowledge for educational purposes.
89,89,https://randomuser.me/api/portraits/men/8.jpg,Fishing,Public Relations,in-person,Johannesburg,South Africa,"Thursdays, 12:00 pm - 3:00 pm",Curious about fishing techniques for sustainable practices.
90,90,https://randomuser.me/api/portraits/women/35.jpg,Cooking Classes,Event Planning,in-person,Nairobi,Kenya,"Sundays, 9:00 am - 12:00 pm",Interested in cooking classes to organize social events.
91,91,https://randomuser.me/api/portraits/men/15.jpg,Barista Skills,Culinary Arts,online,Accra,Ghana,"Fridays, 11:00 am - 2:00 pm",Eager to learn barista skills for crafting unique drinks.
92,92,https://randomuser.me/api/portraits/women/66.jpg,Mindfulness Meditation,Sommelier Training,in-person,Lagos,Nigeria,"Mondays, 3:00 pm - 6:00 pm",Wants mindfulness techniques to enhance daily living.
93,93,https://randomuser.me/api/portraits/women/44.jpg,Tennis Coaching,Baking,online,Cairo,Egypt,"Tuesdays and Thursdays, 4:00 pm - 7:00 pm",Exploring tennis coaching for improved gameplay techniques.
94,94,https://randomuser.me/api/portraits/men/28.jpg,CrossFit Training,Martial Arts,in-person,Istanbul,Turkey,"Mondays, mornings",Learning CrossFit for strength and endurance improvement.
95,95,https://randomuser.me/api/portraits/men/66.jpg,Poetry Writing,Taekwondo,online,Dubai,United Arab Emirates,"Saturdays, 8:00 am - 11:00 am",Curious about poetry writing for creative expression.
96,96,https://randomuser.me/api/portraits/women/78.jpg,Beekeeping,Karate,online,Abu Dhabi,United Arab Emirates,"Sundays, afternoons",Eager to explore beekeeping for environmental sustainability.
97,97,https://randomuser.me/api/portraits/women/45.jpg,Jewelry Making,Judo,in-person,New Delhi,India,"Mondays and Wednesdays, 10:00 am - 12:00 pm",Wants jewelry-making techniques to create personalized designs.
98,98,https://randomuser.me/api/portraits/women/2.jpg,Chinese Calligraphy,Fencing,in-person,Mumbai,India,"Thursdays, 9:00 am - 11:00 am",Seeking Chinese calligraphy to connect with cultural heritage.
99,99,https://randomuser.me/api/portraits/men/34.jpg,Yoga Therapy,Archery,online,Bangalore,India,"Fridays, evenings",Interested in yoga therapy for holistic well-being.
100,100,https://randomuser.me/api/portraits/women/53.jpg,Guitar Playing,Wine Tasting,in-person,Beijing,China,"Weekends, all day",Exploring guitar playing to compose personalized music.